content_id,platform,artifact,claim_ids,figure_keys,freshness_rule,publication_status
CNT-03-GOLD-VS-EQUITIES,WECHAT_LONGFORM,WECHAT_DEEP_ARTICLES_ZH.md,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_PUBLISHED
CNT-03-GOLD-VS-EQUITIES,PANDAAI,PANDAAI_EXPLANATION_TEMPLATES.json,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_DEPLOYED
CNT-04-HINDSIGHT-TRAPS,DOUYIN_TIKTOK,DOUYIN_TIKTOK_SHOTLISTS_ZH.csv|DOUYIN_TIKTOK_CAPTIONS_ZH.md,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07|FIG-CTX-B04_CTX_02|FIG-CTX-B04_CTX_03|FIG-CTX-B05_CTX_03|FIG-CTX-B06_CTX_02|FIG-CTX-B06_CTX_03,REVERIFY_BEFORE_CURRENT_USE,PRODUCTION_READY_NOT_PUBLISHED
CNT-04-HINDSIGHT-TRAPS,XIAOHONGSHU,XIAOHONGSHU_CAROUSELS_ZH.csv|XIAOHONGSHU_CAPTIONS_ZH.md,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07|FIG-CTX-B04_CTX_02|FIG-CTX-B04_CTX_03|FIG-CTX-B05_CTX_03|FIG-CTX-B06_CTX_02|FIG-CTX-B06_CTX_03,REVERIFY_BEFORE_CURRENT_USE,PRODUCTION_READY_NOT_PUBLISHED
CNT-04-HINDSIGHT-TRAPS,WECHAT_LONGFORM,WECHAT_DEEP_ARTICLES_ZH.md,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07|FIG-CTX-B04_CTX_02|FIG-CTX-B04_CTX_03|FIG-CTX-B05_CTX_03|FIG-CTX-B06_CTX_02|FIG-CTX-B06_CTX_03,REVERIFY_BEFORE_CURRENT_USE,PRODUCTION_READY_NOT_PUBLISHED
CNT-04-HINDSIGHT-TRAPS,PANDAAI,PANDAAI_EXPLANATION_TEMPLATES.json,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07|FIG-CTX-B04_CTX_02|FIG-CTX-B04_CTX_03|FIG-CTX-B05_CTX_03|FIG-CTX-B06_CTX_02|FIG-CTX-B06_CTX_03,REVERIFY_BEFORE_CURRENT_USE,PRODUCTION_READY_NOT_DEPLOYED
CNT-05-RECOVERY-CLOCK,DOUYIN_TIKTOK,DOUYIN_TIKTOK_SHOTLISTS_ZH.csv|DOUYIN_TIKTOK_CAPTIONS_ZH.md,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_PUBLISHED
CNT-05-RECOVERY-CLOCK,XIAOHONGSHU,XIAOHONGSHU_CAROUSELS_ZH.csv|XIAOHONGSHU_CAPTIONS_ZH.md,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_PUBLISHED
CNT-05-RECOVERY-CLOCK,WECHAT_LONGFORM,WECHAT_DEEP_ARTICLES_ZH.md,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_PUBLISHED
CNT-05-RECOVERY-CLOCK,PANDAAI,PANDAAI_EXPLANATION_TEMPLATES.json,CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT,FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_DEPLOYED
CNT-06-1987-MULTI-LEG,DOUYIN_TIKTOK,DOUYIN_TIKTOK_SHOTLISTS_ZH.csv|DOUYIN_TIKTOK_CAPTIONS_ZH.md,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,FIG-CASE-B02,STATIC_SOURCE_AUDIT,PRODUCTION_READY_NOT_PUBLISHED
CNT-06-1987-MULTI-LEG,XIAOHONGSHU,XIAOHONGSHU_CAROUSELS_ZH.csv|XIAOHONGSHU_CAPTIONS_ZH.md,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,FIG-CASE-B02,STATIC_SOURCE_AUDIT,PRODUCTION_READY_NOT_PUBLISHED
CNT-06-1987-MULTI-LEG,WECHAT_LONGFORM,WECHAT_DEEP_ARTICLES_ZH.md,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,FIG-CASE-B02,STATIC_SOURCE_AUDIT,PRODUCTION_READY_NOT_PUBLISHED
CNT-06-1987-MULTI-LEG,PANDAAI,PANDAAI_EXPLANATION_TEMPLATES.json,CLM-CASE-B02|CLM-CTX-B02_CTX_01|CLM-CTX-B02_CTX_02|CLM-CTX-B02_CTX_03,FIG-CASE-B02,STATIC_SOURCE_AUDIT,PRODUCTION_READY_NOT_DEPLOYED
