time_months,at_risk_weight,event_weight,censor_weight,survival_not_recovered,asset,anchor,recovery_level
2,5.5,0.5,0.0,0.7142857142857143,DXY,FIRST_HIKE,50%
3,5.0,0.3333333333333333,0.0,0.6666666666666667,DXY,FIRST_HIKE,50%
6,4.666666666666666,2.0,0.0,0.380952380952381,DXY,FIRST_HIKE,50%
7,2.6666666666666665,0.3333333333333333,0.0,0.33333333333333337,DXY,FIRST_HIKE,50%
8,2.333333333333333,0.3333333333333333,0.0,0.28571428571428575,DXY,FIRST_HIKE,50%
24,2.0,1.0,0.0,0.14285714285714288,DXY,FIRST_HIKE,50%
28,1.0,1.0,0.0,0.0,DXY,FIRST_HIKE,50%
0,7.0,0.0,0.0,1.0,DXY,FIRST_HIKE,100%
1,7.0,0.5,0.0,0.9285714285714286,DXY,FIRST_HIKE,100%
4,6.5,1.5,0.0,0.7142857142857143,DXY,FIRST_HIKE,100%
6,5.0,0.3333333333333333,0.0,0.6666666666666667,DXY,FIRST_HIKE,100%
7,4.666666666666666,1.0,0.0,0.5238095238095238,DXY,FIRST_HIKE,100%
11,3.6666666666666665,1.0,0.0,0.380952380952381,DXY,FIRST_HIKE,100%
17,2.6666666666666665,0.3333333333333333,0.0,0.33333333333333337,DXY,FIRST_HIKE,100%
33,2.333333333333333,1.0,0.0,0.1904761904761905,DXY,FIRST_HIKE,100%
44,1.3333333333333333,0.0,1.0,0.1904761904761905,DXY,FIRST_HIKE,100%
60,0.3333333333333333,0.0,0.3333333333333333,0.1904761904761905,DXY,FIRST_HIKE,100%
0,7.0,0.0,0.0,1.0,DXY,LAST_HIKE,50%
2,7.0,2.5,0.0,0.6428571428571428,DXY,LAST_HIKE,50%
4,4.5,1.0,0.0,0.49999999999999994,DXY,LAST_HIKE,50%
5,3.5,1.0,0.0,0.3571428571428571,DXY,LAST_HIKE,50%
7,2.5,0.6666666666666666,0.0,0.2619047619047619,DXY,LAST_HIKE,50%
18,1.8333333333333333,1.0,0.0,0.11904761904761904,DXY,LAST_HIKE,50%
60,0.8333333333333333,0.0,0.8333333333333333,0.11904761904761904,DXY,LAST_HIKE,50%
0,7.0,0.0,0.0,1.0,DXY,LAST_HIKE,100%
2,7.0,1.0,0.0,0.8571428571428572,DXY,LAST_HIKE,100%
4,6.0,1.5,0.0,0.6428571428571429,DXY,LAST_HIKE,100%
12,4.5,1.0,0.0,0.5,DXY,LAST_HIKE,100%
13,3.5,1.0,0.0,0.35714285714285715,DXY,LAST_HIKE,100%
17,2.5,0.6666666666666666,0.0,0.2619047619047619,DXY,LAST_HIKE,100%
18,1.8333333333333333,1.0,0.0,0.11904761904761904,DXY,LAST_HIKE,100%
60,0.8333333333333333,0.0,0.8333333333333333,0.11904761904761904,DXY,LAST_HIKE,100%
0,7.0,0.0,0.0,1.0,DXY,PAUSE_START,50%
2,7.0,3.0,0.0,0.5714285714285714,DXY,PAUSE_START,50%
4,4.0,1.0,0.0,0.42857142857142855,DXY,PAUSE_START,50%
7,3.0,1.0,0.0,0.28571428571428575,DXY,PAUSE_START,50%
16,2.0,1.0,0.0,0.14285714285714288,DXY,PAUSE_START,50%
60,1.0,0.0,1.0,0.14285714285714288,DXY,PAUSE_START,50%
0,7.0,0.0,0.0,1.0,DXY,PAUSE_START,100%
2,7.0,1.0,0.0,0.8571428571428572,DXY,PAUSE_START,100%
3,6.0,1.0,0.0,0.7142857142857144,DXY,PAUSE_START,100%
4,5.0,1.0,0.0,0.5714285714285715,DXY,PAUSE_START,100%
8,4.0,1.0,0.0,0.4285714285714286,DXY,PAUSE_START,100%
12,3.0,1.0,0.0,0.28571428571428575,DXY,PAUSE_START,100%
16,2.0,1.0,0.0,0.14285714285714288,DXY,PAUSE_START,100%
60,1.0,0.0,1.0,0.14285714285714288,DXY,PAUSE_START,100%
0,3.0,0.0,0.0,1.0,TLT,FIRST_CUT,50%
1,3.0,2.0,0.0,0.33333333333333337,TLT,FIRST_CUT,50%
8,1.0,1.0,0.0,0.0,TLT,FIRST_CUT,50%
0,3.0,0.0,0.0,1.0,TLT,FIRST_CUT,100%
1,3.0,1.0,0.0,0.6666666666666667,TLT,FIRST_CUT,100%
3,2.0,1.0,0.0,0.33333333333333337,TLT,FIRST_CUT,100%
20,1.0,0.0,1.0,0.33333333333333337,TLT,FIRST_CUT,100%
0,3.0,0.0,0.0,1.0,TLT,FIRST_HIKE,50%
1,3.0,1.0,0.0,0.6666666666666667,TLT,FIRST_HIKE,50%
9,2.0,1.0,0.0,0.33333333333333337,TLT,FIRST_HIKE,50%
47,1.0,0.0,1.0,0.33333333333333337,TLT,FIRST_HIKE,50%
0,3.0,0.0,0.0,1.0,TLT,FIRST_HIKE,100%
2,3.0,1.0,0.0,0.6666666666666667,TLT,FIRST_HIKE,100%
30,2.0,1.0,0.0,0.33333333333333337,TLT,FIRST_HIKE,100%
47,1.0,0.0,1.0,0.33333333333333337,TLT,FIRST_HIKE,100%
0,3.0,0.0,0.0,1.0,TLT,LAST_HIKE,50%
1,3.0,1.0,0.0,0.6666666666666667,TLT,LAST_HIKE,50%
2,2.0,2.0,0.0,0.0,TLT,LAST_HIKE,50%
0,3.0,0.0,0.0,1.0,TLT,LAST_HIKE,100%
2,3.0,1.0,0.0,0.6666666666666667,TLT,LAST_HIKE,100%
3,2.0,1.0,0.0,0.33333333333333337,TLT,LAST_HIKE,100%
11,1.0,1.0,0.0,0.0,TLT,LAST_HIKE,100%
0,3.0,0.0,0.0,1.0,TLT,PAUSE_START,50%
1,3.0,1.0,0.0,0.6666666666666667,TLT,PAUSE_START,50%
2,2.0,2.0,0.0,0.0,TLT,PAUSE_START,50%
0,3.0,0.0,0.0,1.0,TLT,PAUSE_START,100%
2,3.0,2.0,0.0,0.33333333333333337,TLT,PAUSE_START,100%
3,1.0,1.0,0.0,0.0,TLT,PAUSE_START,100%
0,3.0,0.0,0.0,1.0,VNQ,FIRST_CUT,50%
2,3.0,1.0,0.0,0.6666666666666667,VNQ,FIRST_CUT,50%
3,2.0,1.0,0.0,0.33333333333333337,VNQ,FIRST_CUT,50%
7,1.0,1.0,0.0,0.0,VNQ,FIRST_CUT,50%
0,3.0,0.0,0.0,1.0,VNQ,FIRST_CUT,100%
10,3.0,1.0,0.0,0.6666666666666667,VNQ,FIRST_CUT,100%
12,2.0,1.0,0.0,0.33333333333333337,VNQ,FIRST_CUT,100%
40,1.0,1.0,0.0,0.0,VNQ,FIRST_CUT,100%
0,2.0,0.0,0.0,1.0,VNQ,FIRST_HIKE,50%
2,2.0,1.0,0.0,0.5,VNQ,FIRST_HIKE,50%
21,1.0,1.0,0.0,0.0,VNQ,FIRST_HIKE,50%
0,2.0,0.0,0.0,1.0,VNQ,FIRST_HIKE,100%
21,2.0,1.0,0.0,0.5,VNQ,FIRST_HIKE,100%
42,1.0,1.0,0.0,0.0,VNQ,FIRST_HIKE,100%
0,3.0,0.0,0.0,1.0,VNQ,LAST_HIKE,50%
1,3.0,2.0,0.0,0.33333333333333337,VNQ,LAST_HIKE,50%
58,1.0,1.0,0.0,0.0,VNQ,LAST_HIKE,50%
0,3.0,0.0,0.0,1.0,VNQ,LAST_HIKE,100%
1,3.0,1.0,0.0,0.6666666666666667,VNQ,LAST_HIKE,100%
2,2.0,1.0,0.0,0.33333333333333337,VNQ,LAST_HIKE,100%
60,1.0,0.0,1.0,0.33333333333333337,VNQ,LAST_HIKE,100%
0,3.0,0.0,0.0,1.0,VNQ,PAUSE_START,50%
1,3.0,2.0,0.0,0.33333333333333337,VNQ,PAUSE_START,50%
47,1.0,1.0,0.0,0.0,VNQ,PAUSE_START,50%
0,3.0,0.0,0.0,1.0,VNQ,PAUSE_START,100%
1,3.0,1.0,0.0,0.6666666666666667,VNQ,PAUSE_START,100%
2,2.0,1.0,0.0,0.33333333333333337,VNQ,PAUSE_START,100%
59,1.0,1.0,0.0,0.0,VNQ,PAUSE_START,100%
