asset,stress_observable,cycle_id,broad_episode_id,cycle_start_year,anchor_date,paired_episode_weight,asset_trough_month,stress_peak_month,lead_months,abs_gap_months,stress_before,same_month,before_or_same,near_2m,both_late_7plus,max_stress_move,evidence_time,source_module_casebook,causal_status,oos_status,deployment_status,interpretation_guardrail
GOLD,BAA10Y_SPREAD,T03_1987,B02,1987,1987-07-02,0.3333333333333333,12,7,5,5,True,False,True,False,True,29.000000000000004,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,VIX,T09_2015,B06,2015,2019-07-31,1.0,9,8,1,1,True,False,True,True,True,41.90081818181818,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,BAA10Y_SPREAD,T10_2022,B07,2022,2024-09-18,1.0,3,7,-4,4,False,False,False,False,False,16.999999999999993,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,COPPER,T10_2022,B07,2022,2024-09-18,1.0,3,3,0,0,False,True,True,True,False,0.0654587944495498,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,VIX,T10_2022,B07,2022,2024-09-18,1.0,3,7,-4,4,False,False,False,False,False,12.653917748917744,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,BAA10Y_SPREAD,T10_2022,B07,2022,2024-09-18,1.0,7,7,0,0,False,True,True,True,True,16.999999999999993,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,COPPER,T10_2022,B07,2022,2024-09-18,1.0,7,3,4,4,True,False,True,False,False,0.0654587944495498,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,VIX,T10_2022,B07,2022,2024-09-18,1.0,7,7,0,0,False,True,True,True,True,12.653917748917744,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,BAA10Y_SPREAD,T10_2022,B07,2022,2024-09-18,1.0,7,7,0,0,False,True,True,True,True,16.999999999999993,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,COPPER,T10_2022,B07,2022,2024-09-18,1.0,7,3,4,4,True,False,True,False,False,0.0654587944495498,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,VIX,T10_2022,B07,2022,2024-09-18,1.0,7,7,0,0,False,True,True,True,True,12.653917748917744,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,BAA10Y_SPREAD,T10_2022,B07,2022,2024-09-18,1.0,8,7,1,1,True,False,True,True,True,16.999999999999993,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,COPPER,T10_2022,B07,2022,2024-09-18,1.0,8,3,5,5,True,False,True,False,False,0.0654587944495498,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,VIX,T10_2022,B07,2022,2024-09-18,1.0,8,7,1,1,True,False,True,True,True,12.653917748917744,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
