asset,asset_label,primary_asset,anchor,cycle_id,broad_episode_id,cycle_start_year,anchor_date,episode_weight,baseline_period,ret_3m,ret_6m,ret_12m,mdd_12m,mae_12m,mfe_12m,event_trough_month,mdd_trough_month,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months,evidence_time,source_module_casebook,causal_status,oos_status,deployment_status,interpretation_guardrail
WTI,WTI spot monthly average,True,FIRST_HIKE,T04_1987,B02,1987,1987-08-27,0.3333333333333333,1987-07,-0.1176938555851935,-0.2140149615932292,-0.2735514876283603,0.2747671861107211,-0.2747671861107211,0.0,11,11,8.0,18.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T04_1987,B02,1987,1987-09-24,0.3333333333333333,1987-08,0.054229934924078,-0.0368763557483731,-0.1041214750542299,0.1502057613168724,-0.1041214750542299,0.054229934924078,12,12,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T04_1987,B02,1987,1987-09-24,0.3333333333333333,1987-08,-0.2985083157554079,-0.1624535992638679,-0.1477037153465136,0.2985083157554079,-0.2985083157554079,0.0,3,3,6.0,20.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T04_1987,B02,1987,1987-09-24,0.3333333333333333,1987-08,-0.2684075033871038,-0.1931657436196139,-0.1863870762460197,0.2684075033871038,-0.2684075033871038,0.0,3,3,13.0,19.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,LAST_HIKE,T04_1987,B02,1987,1987-09-24,0.3333333333333333,1987-08,-0.1583358732093874,-0.2006328021262493,-0.2843538661886728,0.2843538661886728,-0.2843538661886728,0.0,12,12,4.0,7.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,PAUSE_START,T04_1987,B02,1987,1987-11-03,1.0,1987-10,-0.0494623655913978,-0.0301075268817204,-0.0967741935483871,0.1625514403292181,-0.1247311827956989,0.0451612903225806,11,11,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,PAUSE_START,T04_1987,B02,1987,1987-11-03,1.0,1987-10,-0.0817435115296807,-0.0342099976176928,-0.0315857497336345,0.1831315117846628,-0.1831315117846628,0.0164856607934196,1,1,2.0,6.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,PAUSE_START,T04_1987,B02,1987,1987-11-03,1.0,1987-10,-0.0786542357629993,-0.0858078571841305,-0.0326230386795571,0.1399472062006215,-0.1399472062006215,0.0,1,1,3.0,13.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,PAUSE_START,T04_1987,B02,1987,1987-11-03,1.0,1987-10,-0.1540509425816665,-0.1224244168552703,-0.287499400393342,0.3064229865208423,-0.3064229865208423,0.0,11,11,3.0,6.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T05_1988,B02,1988,1989-06-06,0.3333333333333333,1989-05,-0.0242587601078166,0.103477088948787,-0.0512129380053908,0.1558752997601918,-0.0512129380053908,0.1239892183288409,12,12,2.0,,True,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T05_1988,B02,1988,1989-06-06,0.3333333333333333,1989-05,0.0763436667587587,0.0298658757174059,0.0603518810736396,0.0961433553941895,-0.0263053913917599,0.0772666378227349,8,8,4.0,14.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T05_1988,B02,1988,1989-06-06,0.3333333333333333,1989-05,0.1063915579030423,0.1103494427207856,0.1479841585067856,0.0519816996292393,0.0,0.1479841585067856,8,8,3.0,3.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_CUT,T05_1988,B02,1988,1989-06-06,0.3333333333333333,1989-05,-0.0259924314381774,0.0480180731352557,-0.1693535707285762,0.269776261764174,-0.1693535707285762,0.1375231806051835,12,12,2.0,2.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T05_1988,B02,1988,1988-03-30,0.3333333333333333,1988-02,0.0203619909502261,-0.0656108597285067,-0.1176470588235294,0.1415929203539823,-0.1221719457013574,0.0226244343891401,11,11,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T05_1988,B02,1988,1988-03-30,0.3333333333333333,1988-02,0.09164545922489,0.080827049948432,0.1425934562979289,0.0472917743763664,0.0,0.1428372389208547,2,8,2.0,3.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T05_1988,B02,1988,1988-03-30,0.3333333333333333,1988-02,0.0486376103660428,0.0381283787092328,0.133984623646959,0.025698756229754,-0.0077643179127819,0.1390126340028339,2,5,1.0,2.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_HIKE,T05_1988,B02,1988,1988-03-30,0.3333333333333333,1988-02,-0.0136769584077571,-0.1345736002536208,0.1600632505199997,0.2290846079509479,-0.180119645034164,0.1600632505199997,7,7,2.0,3.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T05_1988,B02,1988,1989-05-17,0.3333333333333333,1989-04,-0.0494791666666666,0.0260416666666667,-0.0390625,0.1151079136690647,-0.0572916666666666,0.0859375,4,12,3.0,,True,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T05_1988,B02,1988,1989-05-17,0.3333333333333333,1989-04,0.1071556255530807,0.0900609950306685,0.0610557423781117,0.0961433553941895,0.0,0.1259820897343972,9,9,4.0,14.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T05_1988,B02,1988,1989-05-17,0.3333333333333333,1989-04,0.1467549509982517,0.1256176127016544,0.1588051174689442,0.0519816996292393,0.0,0.1588051174689442,1,9,3.0,3.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,LAST_HIKE,T05_1988,B02,1988,1989-05-17,0.3333333333333333,1989-04,-0.1181356495324883,-0.0567833509446406,-0.1312671064913695,0.1994406780784243,-0.1312671064913695,0.0851574264645602,12,12,3.0,3.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T06_1994,B03,1994,1995-07-06,1.0,1995-06,-0.0128865979381442,0.0283505154639174,-0.0128865979381442,0.054320987654321,-0.0128865979381442,0.0438144329896907,2,12,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T06_1994,B03,1994,1995-07-06,1.0,1995-06,0.1281426875729325,0.1312421047139436,0.2202753454360104,0.0941613420880245,0.0,0.3471221776390449,1,12,2.0,3.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T06_1994,B03,1994,1995-07-06,1.0,1995-06,0.080770868849396,0.1391774400520478,0.1941514353281228,0.0365423720724417,0.0,0.2394436462107809,1,12,1.0,2.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_CUT,T06_1994,B03,1994,1995-07-06,1.0,1995-06,-0.0521373409724642,0.0287788101254793,0.1699978657905629,0.1312220232766339,-0.0521373409724642,0.277503049843151,3,11,3.0,3.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T06_1994,B03,1994,1994-02-04,1.0,1994-01,-0.0155038759689922,-0.0180878552971576,-0.0258397932816537,0.0382653061224489,-0.0258397932816537,0.0129198966408268,2,12,2.0,11.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T06_1994,B03,1994,1994-02-04,1.0,1994-01,-0.0761699411357214,-0.0620750143064685,-0.0044745212564814,0.094289838567527,-0.094289838567527,0.0,5,5,2.0,8.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T06_1994,B03,1994,1994-02-04,1.0,1994-01,-0.0467116668613382,-0.018498823657162,0.0188837519504097,0.054463296784632,-0.054463296784632,0.0188837519504097,2,2,4.0,10.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_HIKE,T06_1994,B03,1994,1994-02-04,1.0,1994-01,0.1981388296454278,0.2275514408279004,0.237188601558103,0.1286417303359989,-0.0207709316731223,0.3099506798187152,1,10,2.0,4.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T06_1994,B03,1994,1995-02-01,1.0,1995-01,0.0158311345646438,0.0131926121372032,0.0686015831134565,0.020460358056266,0.0,0.0686015831134565,1,7,3.0,4.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T06_1994,B03,1994,1995-02-01,1.0,1995-01,0.1342282956234481,0.3318860117931832,0.4432699616666646,0.0274621572528328,0.0,0.4432699616666646,1,8,1.0,4.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T06_1994,B03,1994,1995-02-01,1.0,1995-01,0.1258756372868172,0.2017410022004881,0.3961139266943174,0.0002456901496479,0.0,0.3961139266943174,1,11,1.0,1.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,LAST_HIKE,T06_1994,B03,1994,1995-02-01,1.0,1995-01,0.0953223750970944,-0.0053484787181039,0.0576133200917103,0.1297405582599535,-0.0436172997907735,0.0989627395446353,5,5,5.0,8.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,PAUSE_START,T06_1994,B03,1994,1995-03-28,1.0,1995-02,0.0291777188328912,0.0159151193633952,0.0503978779840847,0.0222222222222222,0.0,0.0742705570291777,6,12,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,PAUSE_START,T06_1994,B03,1994,1995-03-28,1.0,1995-02,0.1552983757306663,0.3401446784464819,0.393249527992153,0.0274621572528328,0.0,0.3949956142793964,1,7,1.0,4.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,PAUSE_START,T06_1994,B03,1994,1995-03-28,1.0,1995-02,0.1191666305914727,0.2009458097210938,0.3426884103720848,0.0037984380236238,0.0,0.3478079754345189,1,12,2.0,2.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,PAUSE_START,T06_1994,B03,1994,1995-03-28,1.0,1995-02,-0.0083585943879842,-0.0205608595456858,0.1633795229401728,0.1297405582599535,-0.0661894542631346,0.1633795229401728,4,4,5.0,8.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T07_1999,B04,1999,2001-01-03,1.0,2000-12,-0.040590405904059,-0.0110701107011069,0.0405904059040589,0.040590405904059,-0.040590405904059,0.0442804428044281,3,3,1.0,1.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T07_1999,B04,1999,2001-01-03,1.0,2000-12,-0.2723596422991508,-0.2347156175048149,-0.2562408784576868,0.40804215504697,-0.40804215504697,0.0,8,8,39.0,,True,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
